icao24,callsign,timestamp,latitude,longitude,altitude,on_ground,ground_speed,vertical_speed,ground_accel,heading,turn_rate,flight_duration,max_altitude,altitude_range,anomaly_rule,anomaly_reason,anomaly_ml,anomaly_score,shape_anomaly,cluster,anomaly_combined
0d0cfd,VOI9692,2025-12-16 20:26:51,25.7731,-100.0971,304.0,False,0.0,0.0,0.0,302.1164577830406,0.0,9150.0,11582.0,11278.0,False,,False,-0.42048521062716904,True,-1,True
0d0d41,VOI7401,2025-12-16 19:55:53,30.331,-112.6223,10363.0,False,0.0,0.0,0.0,319.382490419761,0.0,830.0,10363.0,1219.0,False,,False,-0.5275447591514151,True,-1,True
0d0dda,AMX115,2025-12-16 18:32:54,19.4386,-99.0708,1828.0,False,0.0,0.0,0.0,58.59956094574807,0.0,7850.0,10969.93137254902,9445.93137254902,False,,False,-0.39532980203247936,True,-1,True
342105,IBS15VY,2025-12-16 19:54:36,35.2638,-9.1426,10363.0,False,0.0,0.0,0.0,38.21465280019044,0.0,4380.0,10363.0,10059.0,False,,False,-0.4309033853028348,True,-1,True
344646,VLG7SY,2025-12-16 18:47:16,41.289,2.0939,0.0,False,0.0,0.0,0.0,67.09906974331182,0.0,14040.0,11582.0,11582.0,False,,False,-0.5429374596808347,True,-1,True
345218,AEA1518,2025-12-16 18:25:25,48.365,11.796,304.0,False,0.0,0.0,0.0,83.20293818789241,0.0,8070.0,11887.0,11583.0,False,,False,-0.40475905127458056,True,-1,True
398568,AFR91RL,2025-12-16 20:01:50,48.9962,2.5625,0.0,False,0.0,0.0,0.0,266.0924999247096,0.0,3040.0,7010.0,7010.0,False,,False,-0.43816842410729745,True,-1,True
398601,AFR7482,2025-12-16 19:56:38,48.9961,2.5583,0.0,False,0.0,0.0,0.0,264.89129196551335,0.0,3680.0,9448.0,9448.0,False,,False,-0.39705420942955494,True,-1,True
3c09f2,LHX6KW,2025-12-16 21:25:30,48.3422,11.7707,304.0,False,0.0,0.0,0.0,264.8399663338984,0.0,2610.0,7315.0,7315.0,False,,False,-0.43716601002005334,True,-1,True
3c6490,EWG77F,2025-12-16 18:52:32,34.1071,-8.1592,10363.0,False,0.0,0.0,0.0,41.89495376729877,0.0,10850.0,10972.0,10972.0,False,,False,-0.42901241316956285,True,-1,True
3e0feb,CHX42,2025-12-16 19:52:47,54.2173,9.5957,0.0,False,0.0,0.0,0.0,228.7847599507087,0.0,7690.0,609.0,609.0,False,,False,-0.5612363633969932,True,-1,True
440115,EJU42ML,2025-12-16 18:12:47,41.2881,2.0911,0.0,False,0.0,0.0,0.0,64.99948936432838,0.0,4970.0,11582.0,11582.0,False,,False,-0.36999539777606577,True,-1,True
