icao24,callsign,timestamp,latitude,longitude,altitude,on_ground
0d0d41,VOI7401,1765914953,30.331,-112.6223,10363,319
0d0d41,VOI7401,1765914997,30.396,-112.6869,10058,319
0d0d41,VOI7401,1765915087,30.5286,-112.819,10363,319
0d0d41,VOI7401,1765915631,31.3319,-113.6304,10058,318
0d0d41,VOI7401,1765915632,31.3328,-113.6313,10363,318
0d0d41,VOI7401,1765915649,31.3567,-113.6558,10058,318
0d0d41,VOI7401,1765915656,31.3671,-113.6664,10363,318
0d0d41,VOI7401,1765915657,31.3687,-113.6681,10058,318
0d0d41,VOI7401,1765915730,31.4746,-113.7766,9753,318
0d0d41,VOI7401,1765915756,31.5121,-113.815,9448,318
0d0d41,VOI7401,1765915778,31.5434,-113.8474,9144,318
0d0d41,VOI7401,1765915785,31.5535,-113.8577,9144,318
0d0cfd,VOI9692,1765916811,25.7731,-100.0971,304,301
0d0cfd,VOI9692,1765916839,25.7835,-100.1155,609,302
0d0cfd,VOI9692,1765916863,25.7945,-100.1346,914,301
0d0cfd,VOI9692,1765916884,25.8051,-100.1538,1219,301
0d0cfd,VOI9692,1765916901,25.8145,-100.1711,1524,300
0d0cfd,VOI9692,1765916913,25.8207,-100.1831,1828,299
0d0cfd,VOI9692,1765916928,25.8283,-100.1973,1828,300
0d0cfd,VOI9692,1765916944,25.8361,-100.2127,2438,298
0d0cfd,VOI9692,1765916970,25.8495,-100.2408,2743,297
0d0cfd,VOI9692,1765916994,25.8638,-100.2714,3048,297
0d0cfd,VOI9692,1765917012,25.875,-100.2951,3352,298
0d0cfd,VOI9692,1765917029,25.8864,-100.3185,3657,297
0d0cfd,VOI9692,1765917052,25.9026,-100.3525,3962,297
0d0cfd,VOI9692,1765917069,25.9152,-100.3789,3962,297
0d0cfd,VOI9692,1765917081,25.9236,-100.3965,4572,297
0d0cfd,VOI9692,1765917096,25.9345,-100.4195,4876,297
0d0cfd,VOI9692,1765917109,25.9439,-100.4391,5181,297
0d0cfd,VOI9692,1765917131,25.9603,-100.4735,5486,297
0d0cfd,VOI9692,1765917151,25.9756,-100.5057,5791,297
0d0cfd,VOI9692,1765917167,25.9878,-100.5315,6096,297
0d0cfd,VOI9692,1765917184,26.0007,-100.5588,6400,297
0d0cfd,VOI9692,1765917204,26.0164,-100.592,6705,297
0d0cfd,VOI9692,1765917226,26.0335,-100.6281,7010,297
0d0cfd,VOI9692,1765917251,26.0534,-100.6701,7315,297
0d0cfd,VOI9692,1765917275,26.0726,-100.7103,7620,297
0d0cfd,VOI9692,1765917302,26.0947,-100.7569,7924,297
0d0cfd,VOI9692,1765917327,26.115,-100.7997,8229,297
0d0cfd,VOI9692,1765917351,26.1351,-100.8421,8229,297
0d0cfd,VOI9692,1765917374,26.1543,-100.8824,8839,297
0d0cfd,VOI9692,1765917394,26.1708,-100.9173,9144,297
0d0cfd,VOI9692,1765917413,26.1859,-100.9495,9448,297
0d0cfd,VOI9692,1765917440,26.2075,-100.9956,9753,297
0d0cfd,VOI9692,1765917467,26.2291,-101.0414,10058,297
0d0cfd,VOI9692,1765917484,26.2424,-101.0696,10363,297
0d0cfd,VOI9692,1765917503,26.2568,-101.1003,10668,297
0d0cfd,VOI9692,1765917532,26.2784,-101.1465,10972,297
0d0cfd,VOI9692,1765917539,26.2833,-101.1572,10972,295
0d0cfd,VOI9692,1765917550,26.2899,-101.175,10972,293
0d0cfd,VOI9692,1765917553,26.2917,-101.1795,10972,295
0d0cfd,VOI9692,1765917558,26.2955,-101.1878,11277,297
0d0cfd,VOI9692,1765917637,26.3556,-101.3121,11582,297
0d0cfd,VOI9692,1765917638,26.3564,-101.3138,11277,297
0d0cfd,VOI9692,1765917639,26.3572,-101.3154,11582,297
0d0cfd,VOI9692,1765917642,26.3595,-101.3204,11277,297
0d0cfd,VOI9692,1765917643,26.3602,-101.3219,11582,297
0d0cfd,VOI9692,1765917911,26.5725,-101.7791,11277,297
0d0cfd,VOI9692,1765917912,26.5736,-101.7814,11582,297
0d0cfd,VOI9692,1765917920,26.5799,-101.7952,11277,297
0d0cfd,VOI9692,1765917921,26.5807,-101.7968,11582,297
0d0cfd,VOI9692,1765917923,26.5821,-101.7999,11277,297
0d0cfd,VOI9692,1765917924,26.5829,-101.8017,11582,297
0d0cfd,VOI9692,1765917925,26.5838,-101.8036,11277,297
0d0cfd,VOI9692,1765917926,26.5845,-101.8052,11582,296
0d0cfd,VOI9692,1765917929,26.587,-101.8106,11277,297
0d0cfd,VOI9692,1765917930,26.5878,-101.8124,11582,297
0d0cfd,VOI9692,1765917931,26.5886,-101.8141,11277,296
0d0cfd,VOI9692,1765917932,26.5895,-101.816,11582,297
0d0cfd,VOI9692,1765918108,26.729,-102.1178,11277,297
0d0cfd,VOI9692,1765918109,26.7298,-102.1195,11582,297
0d0cfd,VOI9692,1765918110,26.7306,-102.1212,11277,297
0d0cfd,VOI9692,1765918115,26.7344,-102.1295,11582,297
0d0cfd,VOI9692,1765918116,26.7349,-102.1305,11277,297
0d0cfd,VOI9692,1765918125,26.7423,-102.1466,11582,297
0d0cfd,VOI9692,1765918127,26.7438,-102.1499,11277,297
0d0cfd,VOI9692,1765918128,26.7446,-102.1516,11582,297
0d0cfd,VOI9692,1765918129,26.7454,-102.1533,11277,297
0d0cfd,VOI9692,1765918132,26.7478,-102.1584,11582,297
0d0cfd,VOI9692,1765918133,26.7485,-102.1599,11277,297
0d0cfd,VOI9692,1765918140,26.7541,-102.1721,11582,297
0d0cfd,VOI9692,1765918142,26.7557,-102.1755,11277,297
0d0cfd,VOI9692,1765918175,26.7811,-102.2309,11582,297
0d0cfd,VOI9692,1765918176,26.7819,-102.2324,11277,297
0d0cfd,VOI9692,1765918178,26.7837,-102.2364,11582,297
0d0cfd,VOI9692,1765918181,26.7856,-102.2406,11277,297
0d0cfd,VOI9692,1765918182,26.7868,-102.2432,11582,297
0d0cfd,VOI9692,1765918280,26.8624,-102.4075,11277,297
0d0cfd,VOI9692,1765918282,26.8639,-102.4107,11582,297
0d0cfd,VOI9692,1765918283,26.8647,-102.4125,11277,297
0d0cfd,VOI9692,1765918284,26.8654,-102.4141,11582,297
0d0cfd,VOI9692,1765918285,26.8663,-102.4159,11277,297
0d0cfd,VOI9692,1765918286,26.8671,-102.4177,11582,297
0d0cfd,VOI9692,1765918287,26.8677,-102.419,11277,297
0d0cfd,VOI9692,1765918288,26.8685,-102.4208,11582,297
0d0cfd,VOI9692,1765918289,26.8692,-102.4223,11277,297
0d0cfd,VOI9692,1765918434,26.9807,-102.6663,11582,296
0d0cfd,VOI9692,1765920512,28.6915,-106.5331,11277,295
0d0cfd,VOI9692,1765920513,28.6924,-106.5351,11582,295
0d0cfd,VOI9692,1765920518,28.6968,-106.5456,11277,295
0d0cfd,VOI9692,1765920521,28.6993,-106.5513,11582,295
0d0cfd,VOI9692,1765920523,28.7009,-106.5552,11277,295
0d0cfd,VOI9692,1765920526,28.7031,-106.5604,11582,295
0d0cfd,VOI9692,1765920528,28.7048,-106.5644,11277,295
0d0cfd,VOI9692,1765920529,28.7055,-106.566,11582,295
0d0cfd,VOI9692,1765920533,28.7088,-106.5738,11277,295
0d0cfd,VOI9692,1765920535,28.7105,-106.5778,11582,295
0d0cfd,VOI9692,1765920748,28.8849,-106.9871,11277,295
0d0cfd,VOI9692,1765920849,28.9658,-107.1769,11582,295
0d0cfd,VOI9692,1765920850,28.9669,-107.1797,11277,295
0d0cfd,VOI9692,1765920852,28.9689,-107.1842,11582,295
0d0cfd,VOI9692,1765920854,28.9705,-107.1881,11277,295
0d0cfd,VOI9692,1765920855,28.9713,-107.1898,11582,295
0d0cfd,VOI9692,1765921174,29.2325,-107.8093,11277,295
0d0cfd,VOI9692,1765921175,29.2334,-107.8114,11582,295
0d0cfd,VOI9692,1765921177,29.2351,-107.8155,11277,295
0d0cfd,VOI9692,1765921402,29.4214,-108.2638,11582,295
0d0cfd,VOI9692,1765921657,29.6327,-108.7784,11277,294
0d0cfd,VOI9692,1765921723,29.687,-108.9117,11582,295
0d0cfd,VOI9692,1765921724,29.6874,-108.9129,11277,294
0d0cfd,VOI9692,1765921725,29.6886,-108.9158,11582,294
0d0cfd,VOI9692,1765922445,30.2733,-110.384,11277,294
0d0cfd,VOI9692,1765922500,30.3147,-110.4899,11582,294
0d0cfd,VOI9692,1765922501,30.3155,-110.4921,11277,294
0d0cfd,VOI9692,1765922502,30.3163,-110.4939,11582,294
0d0cfd,VOI9692,1765922655,30.4314,-110.7909,11277,294
0d0cfd,VOI9692,1765922724,30.4818,-110.9213,11582,294
0d0cfd,VOI9692,1765922725,30.4825,-110.9232,11277,294
0d0cfd,VOI9692,1765922726,30.4833,-110.9252,11582,294
0d0cfd,VOI9692,1765923771,31.2353,-112.9356,11277,292
0d0cfd,VOI9692,1765923772,31.2364,-112.9384,11582,292
0d0cfd,VOI9692,1765923785,31.2452,-112.9625,11277,292
0d0cfd,VOI9692,1765923787,31.2469,-112.9674,11582,292
0d0cfd,VOI9692,1765923814,31.266,-113.0201,11277,292
0d0cfd,VOI9692,1765924009,31.4028,-113.4048,11582,291
0d0cfd,VOI9692,1765924474,31.7123,-114.3318,11277,291
0d0cfd,VOI9692,1765924534,31.7523,-114.4534,11582,290
0d0cfd,VOI9692,1765924535,31.7525,-114.4542,11277,290
0d0cfd,VOI9692,1765924537,31.7542,-114.4592,11582,291
0d0cfd,VOI9692,1765924734,31.8831,-114.8545,11277,290
0d0cfd,VOI9692,1765924736,31.8843,-114.8584,11582,290
0d0cfd,VOI9692,1765924740,31.8869,-114.8664,11277,290
0d0cfd,VOI9692,1765924745,31.8903,-114.877,11582,290
0d0cfd,VOI9692,1765924821,31.9395,-115.029,11277,290
0d0cfd,VOI9692,1765924832,31.9465,-115.0508,11582,290
0d0cfd,VOI9692,1765924833,31.9472,-115.0529,11277,290
0d0cfd,VOI9692,1765924868,31.9698,-115.1232,11582,290
0d0cfd,VOI9692,1765924869,31.9704,-115.1251,11277,290
0d0cfd,VOI9692,1765924876,31.9751,-115.1399,11582,290
0d0cfd,VOI9692,1765924883,31.9798,-115.1542,11277,290
0d0cfd,VOI9692,1765924906,31.9947,-115.2009,10972,290
